# STEVAL-MKI234KA (LSM6DSV16BX)

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
69903267,0.366,59.353,1127.04
69935975,81.984,86.742,1048.83
69968683,40.443,73.566,1065.55
70001340,33.916,81.13,1071.71
70034049,22.143,83.326,1104.77
70066756,23.363,74.725,1103.25
70099464,23.912,80.886,1094.34
70132173,18.178,86.193,1082.44
70164879,21.167,60.512,1099.59
70197587,35.563,50.996,1089.28
70230293,20.618,79.239,1062.92
70262999,20.862,67.222,1085.19
70295657,28.182,58.255,1122.03
70328365,50.874,60.573,1068.11
70361074,32.818,39.101,1049.87
70393783,57.523,53.375,1087.02
70426491,45.689,49.288,1091.72
70459199,47.824,60.634,1066.4
70491905,35.746,45.445,1116.79
70524613,49.41,31.171,1120.02
70557308,42.822,51.057,1074.52
70590018,40.565,71.065,1043.34
70622675,48.068,36.051,1128.44
70655384,50.752,52.338,1125.69
70688092,45.75,40.931,1088.55
70720800,47.214,75.884,1072.87
70753507,72.834,69.967,1062.68
70786216,63.806,55.083,1049.81
70818924,49.044,59.048,1061.89
70851629,70.516,42.212,1103.25
70884287,68.869,47.58,1078.54
70916993,41.358,68.564,1073.78
70949700,50.325,54.168,1117.52
70982408,73.078,48.678,1090.38
71015115,50.142,62.708,1056.7
71047823,43.676,59.414,1084.09
71080533,75.335,44.896,1098
71113231,54.29,51.667,1077.14
71145937,35.502,77.043,1087.02
71178647,56.608,62.464,1101.23
71211305,58.682,67.1,1073.54
71244010,32.33,75.457,1072.14
71276720,50.935,54.412,1097.45
71309428,71.187,53.68,1081.22
71342138,50.264,74.969,1054.2
71374844,40.321,61.488,1093.42
71407554,56.791,46.604,1116.85
71440261,51.545,64.233,1083.6
71472920,50.569,61.854,1085.43
71505628,63.135,59.109,1078.17
71538335,57.157,64.355,1061.83
71571049,39.894,67.649,1075.98
71603757,53.497,47.214,1103.37
71636464,55.388,51.789,1105.99
71669172,43.859,66.124,1080.31
71701831,43.066,60.878,1088.48
71734539,63.257,56.059,1116.36
71767261,45.933,67.1,1097.57
71799968,39.955,75.884,1063.17
71832679,59.841,70.028,1052.98
71865338,66.429,61.976,1084.82
71898047,50.203,68.991,1090.86
71930755,52.948,66.673,1074.39
71963462,67.405,63.074,1073.66
71996171,47.275,63.684,1100.74
72028878,52.338,64.111,1116.36
72061574,55.266,72.956,1103.12
72094283,69.662,69.418,1094.58
72126992,47.824,77.348,1079.21
72159700,63.44,76.799,1041.88
72192361,63.196,69.662,1067.56
72225068,63.867,75.152,1079.82
72257775,74.115,72.712,1069.09
72290484,66.368,77.897,1099.4
72323205,66.368,75.945,1088.48
72355863,72.285,74.603,1061.7
72388574,65.148,70.455,1087.69
72421281,66.734,69.418,1094.71
72453989,72.041,78.019,1057.19
72486695,64.66,82.167,1074.03
72519401,70.028,83.082,1098.24
72552109,70.699,83.326,1084.7
72584816,59.17,70.089,1098.06
72617476,63.806,60.573,1103.18
72650186,74.481,67.344,1065.49
72682893,62.525,71.98,1052.62
72715600,63.684,75.823,1076.41
72748309,67.466,60.634,1084.4
72781017,45.506,75.884,1075.8
72813723,34.221,91.073,1113.62
72846381,57.523,78.69,1112.64
72879088,54.656,85.156,1078.66
72911794,43.188,85.766,1075.92
72944502,43.432,72.468,1083.3
72977212,51.057,71.187,1087.57
73009920,51.301,77.836,1070.86
73042627,47.946,87.718,1080.49
73075334,59.475,61.427,1102.82
73107993,63.135,69.357,1080.92
73140739,55.815,89.06,1062.74
73173397,60.329,71.919,1097.88
73206104,70.577,65.209,1087.26
