acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
35.624,-13.664,990.640,0.000,0.000,0.000
37.576,-10.248,1000.888,0.000,0.000,0.000
35.136,-13.664,995.520,0.000,0.000,0.000
38.552,-11.712,999.424,0.000,0.000,0.000
34.160,-15.616,997.960,0.000,0.000,0.000
32.208,-13.176,995.520,0.000,0.000,0.000
37.576,-15.128,1003.328,0.000,0.000,0.000
32.208,-18.056,992.592,0.000,0.000,0.000
31.720,-12.688,1002.352,0.000,0.000,0.000
34.160,-9.760,994.544,0.000,0.000,0.000
37.576,-18.056,1006.256,0.000,0.000,0.000
38.552,-13.664,991.616,0.000,0.000,0.000
33.672,-11.224,1003.816,0.000,0.000,0.000
33.184,-8.296,996.984,0.000,0.000,0.000
33.672,-16.592,998.448,0.000,0.000,0.000
37.576,-14.152,999.424,0.000,0.000,0.000
35.624,-11.712,1002.352,0.000,0.000,0.000
36.112,-10.736,997.472,0.000,0.000,0.000
35.624,-14.640,1000.400,0.000,0.000,0.000
36.112,-11.224,1000.400,0.000,0.000,0.000
38.064,-16.592,999.912,0.000,0.000,0.000
38.552,-14.640,996.984,0.000,0.000,0.000
36.600,-11.224,1001.376,0.000,0.000,0.000
33.672,-12.200,999.912,0.000,0.000,0.000
30.744,-13.176,1000.888,0.000,0.000,0.000
36.600,-15.128,1000.888,0.000,0.000,0.000
33.672,-16.104,997.472,0.000,0.000,0.000
35.136,-9.272,1003.816,0.000,0.000,0.000
34.160,-15.128,996.496,0.000,0.000,0.000
33.672,-16.592,996.496,0.000,0.000,0.000
35.624,-14.152,997.472,0.000,0.000,0.000
34.160,-12.688,995.032,0.000,0.000,0.000
36.112,-11.712,990.152,0.000,0.000,0.000
36.112,-7.808,999.912,0.000,0.000,0.000
27.816,-13.176,995.520,0.000,0.000,0.000
40.504,-12.688,999.912,0.000,0.000,0.000
38.064,-19.032,996.008,0.000,0.000,0.000
38.064,-12.200,998.448,0.000,0.000,0.000
37.088,-15.616,1001.864,0.000,0.000,0.000
34.160,-11.712,1004.304,0.000,0.000,0.000
36.112,-11.224,998.448,0.000,0.000,0.000
37.088,-18.056,998.936,0.000,0.000,0.000
29.280,-18.056,994.544,0.000,0.000,0.000
42.456,-16.592,996.008,0.000,0.000,0.000
34.160,-15.616,997.472,0.000,0.000,0.000
32.696,-12.688,995.520,0.000,0.000,0.000
35.624,-15.616,999.424,0.000,0.000,0.000
40.016,-13.176,993.568,0.000,0.000,0.000
33.672,-14.640,995.032,0.000,0.000,0.000
37.088,-11.224,993.568,0.000,0.000,0.000
36.600,-14.152,999.424,0.000,0.000,0.000
32.696,-19.032,997.960,0.000,0.000,0.000
34.648,-11.712,1003.816,0.000,0.000,0.000
39.040,-9.760,992.592,0.000,0.000,0.000
39.040,-13.176,1002.352,0.000,0.000,0.000
37.576,-13.664,998.936,0.000,0.000,0.000
36.112,-14.640,1000.400,0.000,0.000,0.000
31.232,-10.736,1002.352,0.000,0.000,0.000
36.600,-18.056,1002.352,0.000,0.000,0.000
37.088,-13.176,997.472,0.000,0.000,0.000
32.696,-11.712,997.960,0.000,0.000,0.000
37.576,-14.152,997.472,0.000,0.000,0.000
37.088,-14.152,1000.400,0.000,0.000,0.000
39.528,-12.200,1003.328,0.000,0.000,0.000
39.528,-16.104,997.472,0.000,0.000,0.000
32.208,-16.104,996.496,0.000,0.000,0.000
35.136,-14.640,995.520,0.000,0.000,0.000
37.088,-15.128,997.960,0.000,0.000,0.000
37.576,-9.760,993.080,0.000,0.000,0.000
37.576,-11.224,1000.400,0.000,0.000,0.000
39.528,-10.736,1001.864,0.000,0.000,0.000
35.624,-14.152,996.008,0.000,0.000,0.000
35.624,-18.544,1000.400,0.000,0.000,0.000
33.672,-14.152,997.472,0.000,0.000,0.000
36.600,-17.080,997.960,0.000,0.000,0.000
33.672,-13.664,992.104,0.000,0.000,0.000
36.112,-11.712,1002.840,0.000,0.000,0.000
32.696,-12.200,996.008,0.000,0.000,0.000
31.720,-17.080,1001.376,0.000,0.000,0.000
33.672,-15.616,993.080,0.000,0.000,0.000
38.552,-15.616,1003.816,0.000,0.000,0.000
36.600,-16.104,996.008,0.000,0.000,0.000
37.576,-10.736,1002.840,0.000,0.000,0.000
33.184,-12.688,997.472,0.000,0.000,0.000
38.552,-14.152,997.472,0.000,0.000,0.000
36.112,-11.712,997.960,0.000,0.000,0.000
33.184,-11.224,1003.328,0.000,0.000,0.000
37.088,-11.712,996.984,0.000,0.000,0.000
36.112,-17.080,998.936,0.000,0.000,0.000
34.648,-8.784,1000.888,0.000,0.000,0.000
33.184,-13.664,995.520,0.000,0.000,0.000
33.184,-20.496,999.912,0.000,0.000,0.000
33.184,-10.248,997.960,0.000,0.000,0.000
37.576,-16.592,1002.840,0.000,0.000,0.000
37.576,-11.224,995.520,0.000,0.000,0.000
40.504,-20.984,996.984,0.000,0.000,0.000
38.552,-16.592,990.640,0.000,0.000,0.000
34.648,-13.176,996.984,0.000,0.000,0.000
33.672,-17.568,995.032,0.000,0.000,0.000
38.064,-14.640,996.496,0.000,0.000,0.000
35.624,-16.592,982.832,0.000,0.000,0.000
35.624,-13.664,994.544,0.000,0.000,0.000
38.552,-18.544,987.712,0.000,0.000,0.000
37.088,-18.056,995.032,0.000,0.000,0.000
35.136,-18.056,995.520,0.000,0.000,0.000
34.648,-12.688,996.496,0.000,0.000,0.000
34.648,-14.640,1001.376,0.000,0.000,0.000
30.256,-14.152,997.960,0.000,0.000,0.000
33.184,-15.128,1003.328,0.000,0.000,0.000
34.648,-11.712,992.104,0.000,0.000,0.000
36.600,-14.640,1005.280,0.000,0.000,0.000
34.648,-14.152,997.960,0.000,0.000,0.000
38.064,-16.104,1006.744,0.000,0.000,0.000
35.136,-15.128,993.080,0.000,0.000,0.000
33.184,-12.200,998.448,0.000,0.000,0.000
38.064,-14.640,995.520,0.000,0.000,0.000
39.040,-14.152,1001.864,0.000,0.000,0.000
33.672,-15.616,994.056,0.000,0.000,0.000
27.816,-17.080,997.960,0.000,0.000,0.000
34.648,-13.664,991.128,0.000,0.000,0.000
36.112,-15.128,999.912,0.000,0.000,0.000
35.624,-15.128,997.960,0.000,0.000,0.000
36.600,-18.056,995.032,0.000,0.000,0.000
34.160,-11.712,997.960,0.000,0.000,0.000
34.648,-16.592,996.984,0.000,0.000,0.000
36.600,-12.200,997.472,0.000,0.000,0.000
34.160,-13.176,992.104,0.000,0.000,0.000
35.624,-14.152,1001.864,0.000,0.000,0.000
36.600,-13.176,995.520,0.000,0.000,0.000
38.552,-14.152,1001.376,0.000,0.000,0.000
34.160,-11.712,999.912,0.000,0.000,0.000
61.488,38.552,1002.352,0.000,0.000,0.000
212.768,-7.808,975.024,0.000,0.000,0.000
-88.328,191.296,1107.760,0.000,0.000,0.000
