acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
-202.52,-242.048,972.096,23170,15610,-23450
-319.64,-219.6,933.544,8190,-70980,-27300
-21.96,-106.384,1070.18,31010,-65170,-14770
-139.568,-127.856,1019.43,46830,36540,-22120
-196.176,-66.856,945.744,21980,-840,-17430
-99.552,-162.504,1000.89,7140,-42980,-28140
-18.056,-85.888,1021.38,22120,43890,-49070
-200.568,-80.52,961.36,15680,69440,-50680
-281.088,-111.752,924.272,6510,27440,-31920
-174.216,-120.048,941.84,20230,-9100,-9100
-73.2,-8.296,1028.7,24990,-17360,770
-349.896,-128.832,1163.88,16660,-9310,-4200
-213.256,-83.936,978.44,13860,6580,-4550
-177.632,-44.408,960.872,26320,27160,-1890
-150.792,-55.144,989.664,15960,-2100,-1610
-150.304,-39.528,993.568,1120,-44800,-1190
-125.904,-20.984,1018.94,2590,-25410,-2030
-173.728,-20.984,982.344,-3920,-12460,490
-157.136,-34.648,981.368,-9170,-30310,2520
-162.504,-27.816,964.776,-8680,-33950,2730
18.056,-29.768,1028.7,-11970,-53340,5950
-31.232,-48.312,955.016,-20650,-99400,-10150
275.72,-210.328,813.008,-490,-34300,-16800
21.472,-44.408,1011.62,5390,-2730,-7490
-2.928,-40.016,1004.3,280,70,560
-6.344,-47.824,1002.35,-2870,630,1960
2.44,-37.576,1013.09,3500,770,-840
-0.976,-43.92,1011.62,630,910,140
-0.976,-39.04,1011.62,-980,770,700
-4.392,-36.6,1010.16,210,770,490
0,-41.48,1008.21,-700,840,560
-4.392,-40.992,1012.11,-350,840,630
-2.928,-40.992,1009.18,-140,770,490
-5.368,-37.576,1010.16,-560,840,560
-7.32,-39.04,1008.21,-140,770,560
-6.344,-46.36,1012.6,-420,910,490
-0.488,-41.968,1010.16,-630,700,560
1.952,-46.848,1003.82,-420,770,560
-0.488,-37.088,1011.62,-630,560,560
-3.904,-37.576,1016.5,-350,700,560
-3.416,-42.944,1013.09,-140,840,490
2.928,-40.992,1007.72,-420,840,560
-6.344,-35.136,1014.55,-490,910,630
2.44,-35.136,1006.74,-280,980,630
-6.832,-39.528,1008.7,-280,1050,560
-1.952,-40.016,1010.16,-420,980,560
-5.368,-41.48,1010.65,-420,840,630
-4.88,-39.04,1015.53,-420,700,560
0.488,-37.576,1013.09,-280,700,630
-1.952,-35.624,1006.74,-490,700,490
-4.392,-44.408,1007.72,-420,910,560
-5.856,-38.552,1012.11,-630,840,630
-3.416,-41.968,1010.65,-490,770,630
-2.44,-42.456,1007.23,-490,770,560
-1.464,-38.552,1010.16,-420,770,630
