acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
-74.176,445.056,499.712
-70.272,417.728,523.136
-74.176,429.440,499.712
-62.464,448.960,519.232
-113.216,448.960,495.808
-78.080,437.248,511.424
-81.984,406.016,511.424
-78.080,421.632,511.424
-74.176,445.056,476.288
-62.464,437.248,488.000
-62.464,464.576,507.520
-93.696,456.768,507.520
-93.696,445.056,507.520
-74.176,433.344,484.096
-78.080,417.728,480.192
-93.696,437.248,491.904
-93.696,402.112,484.096
-97.600,437.248,476.288
-58.560,433.344,468.480
-93.696,441.152,484.096
-66.368,425.536,488.000
-70.272,445.056,468.480
-62.464,417.728,480.192
-66.368,445.056,472.384
-78.080,421.632,472.384
-78.080,445.056,480.192
-50.752,448.960,476.288
-85.888,441.152,476.288
-58.560,445.056,503.616
-93.696,445.056,515.328
-85.888,452.864,523.136
-105.408,448.960,542.656
-121.024,472.384,569.984
-117.120,456.768,577.792
-121.024,488.000,593.408
-128.832,488.000,628.544
-124.928,491.904,612.928
-101.504,488.000,624.640
-93.696,507.520,640.256
-85.888,499.712,648.064
-101.504,495.808,644.160
-101.504,511.424,663.680
-97.600,519.232,679.296
-105.408,480.192,683.200
-85.888,499.712,655.872
-101.504,503.616,683.200
-109.312,488.000,667.584
-85.888,523.136,691.008
-89.792,515.328,675.392
-93.696,499.712,687.104
-117.120,515.328,706.624
-121.024,546.560,694.912
-136.640,527.040,698.816
-136.640,515.328,694.912
-128.832,530.944,726.144
-117.120,527.040,694.912
-132.736,519.232,706.624
-128.832,538.752,706.624
-152.256,546.560,718.336
-152.256,530.944,730.048
-152.256,534.848,753.472
-195.200,550.464,737.856
-156.160,550.464,737.856
-148.352,562.176,761.280
-183.488,550.464,753.472
-167.872,542.656,788.608
-160.064,558.272,784.704
-167.872,554.368,772.992
-148.352,558.272,784.704
-136.640,569.984,776.896
-160.064,581.696,780.800
-140.544,569.984,780.800
-148.352,577.792,772.992
-175.680,577.792,792.512
-148.352,585.600,776.896
-136.640,585.600,804.224
-140.544,589.504,808.128
-148.352,569.984,788.608
-148.352,601.216,796.416
-156.160,585.600,792.512
-163.968,581.696,815.936
-128.832,597.312,815.936
-152.256,597.312,800.320
-121.024,581.696,827.648
-148.352,601.216,823.744
-124.928,612.928,831.552
-167.872,620.736,839.360
-132.736,609.024,831.552
-121.024,609.024,854.976
-128.832,632.448,839.360
-128.832,624.640,843.264
-140.544,601.216,843.264
-117.120,624.640,835.456
-109.312,632.448,827.648
-113.216,593.408,847.168
-105.408,612.928,851.072
-93.696,636.352,831.552
-113.216,593.408,854.976
-105.408,601.216,858.880
-85.888,620.736,851.072
-97.600,648.064,851.072
-89.792,612.928,866.688
-113.216,612.928,866.688
-105.408,609.024,854.976
-85.888,624.640,862.784
-81.984,605.120,870.592
-89.792,593.408,839.360
-70.272,609.024,831.552
-35.136,628.544,808.128
-66.368,601.216,827.648
-70.272,628.544,839.360
-81.984,605.120,823.744
-70.272,601.216,827.648
-54.656,620.736,819.840
-62.464,612.928,808.128
-78.080,601.216,804.224
-74.176,589.504,819.840
-58.560,605.120,827.648
-81.984,609.024,835.456
-58.560,609.024,804.224
-66.368,597.312,812.032
-81.984,593.408,812.032
-54.656,609.024,804.224
-46.848,612.928,800.320
-39.040,589.504,812.032
-31.232,605.120,823.744
-31.232,609.024,815.936
-42.944,616.832,819.840
-46.848,585.600,827.648
-39.040,589.504,815.936
-42.944,601.216,815.936
-23.424,569.984,827.648
-58.560,585.600,800.320
-66.368,573.888,804.224
-42.944,550.464,800.320
-31.232,581.696,784.704
-50.752,585.600,796.416
-39.040,562.176,800.320
-39.040,577.792,780.800
-58.560,550.464,765.184
-23.424,558.272,737.856
-58.560,558.272,753.472
-54.656,554.368,737.856
-46.848,577.792,741.760
-54.656,558.272,745.664
-58.560,566.080,745.664
-62.464,566.080,722.240
-50.752,566.080,733.952
-42.944,562.176,741.760
-62.464,527.040,730.048
-66.368,558.272,714.432
-50.752,550.464,718.336
-70.272,546.560,722.240
-46.848,554.368,714.432
-81.984,562.176,698.816
-50.752,554.368,694.912
-81.984,554.368,694.912
-78.080,573.888,710.528
-74.176,534.848,706.624
-58.560,554.368,702.720
-58.560,523.136,702.720
-85.888,542.656,691.008
-89.792,554.368,706.624
-50.752,499.712,718.336
-93.696,530.944,702.720
-85.888,527.040,702.720
-93.696,554.368,710.528
-97.600,534.848,679.296
-89.792,534.848,702.720
-70.272,542.656,710.528
-89.792,534.848,702.720
-97.600,530.944,702.720
-85.888,519.232,671.488
-97.600,511.424,714.432
-148.352,527.040,687.104
-97.600,542.656,706.624
-105.408,519.232,694.912
-121.024,503.616,702.720
-89.792,507.520,718.336
-140.544,519.232,706.624
-93.696,499.712,683.200
-121.024,534.848,718.336
-109.312,507.520,706.624
-101.504,511.424,694.912
-97.600,515.328,687.104
-93.696,499.712,679.296
-109.312,495.808,679.296
-81.984,488.000,667.584
-113.216,468.480,679.296
-132.736,476.288,644.160
-89.792,484.096,628.544
-93.696,456.768,636.352
-74.176,456.768,655.872
-97.600,476.288,624.640
-97.600,441.152,632.448
-117.120,448.960,616.832
-85.888,445.056,601.216
-101.504,472.384,593.408
