acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
2.019,-11.660,999.636,-448.212,181.278,437.981
-3.787,-9.518,1000.154,-350.315,219.794,417.421
-0.866,-11.497,1001.444,-350.133,265.110,356.539
-4.283,-9.063,998.750,-281.050,213.248,346.159
-7.502,-10.436,1001.033,-367.806,216.474,363.217
3.045,-9.972,996.585,-333.632,336.228,465.202
-4.615,-9.093,996.901,-369.791,266.124,456.265
-3.412,-7.547,1001.717,-283.601,284.895,405.270
-3.297,-5.194,1000.639,-291.642,227.084,430.197
-3.958,-10.654,995.649,-251.758,325.691,342.831
-2.199,-9.926,998.243,-157.278,307.158,454.920
-0.981,-11.276,999.368,-208.577,320.519,462.988
-3.765,-7.916,999.771,-245.942,310.917,411.032
-2.922,-9.314,993.796,-287.331,319.432,461.713
-0.859,-10.125,994.434,-278.245,262.717,507.518
-4.619,-12.337,1002.079,-280.266,228.169,409.059
-3.768,-6.254,1001.751,-361.756,196.655,519.505
-1.072,-11.898,994.611,-320.011,223.399,420.558
2.029,-5.959,1006.865,-286.018,190.063,410.745
-0.499,-9.714,1003.092,-230.681,298.370,469.343
-3.173,-9.264,994.824,-258.724,322.173,400.453
-2.627,-6.993,1000.797,-226.895,195.271,486.024
-1.626,-8.805,996.713,-352.326,230.417,425.516
2.274,-9.868,1000.726,-403.236,180.093,407.235
-1.978,-9.720,993.158,-246.861,276.339,462.316
-1.023,-11.274,1001.531,-335.338,129.810,421.596
-0.928,-9.928,1002.446,-308.314,39.705,369.828
-3.117,-12.409,998.645,-216.738,348.288,446.883
2.334,-10.967,998.703,-271.323,209.334,393.109
-1.925,-12.211,998.913,-291.665,143.073,296.631
-1.625,-9.467,999.449,-360.569,245.515,366.987
-3.765,-7.886,995.800,-336.076,249.040,438.141
-2.983,-10.101,999.099,-401.269,239.788,397.599
1.327,-11.822,1002.170,-373.731,251.565,534.768
0.441,-9.133,999.285,-341.463,183.484,447.649
0.397,-11.987,1000.947,-279.687,311.023,339.666
-4.387,-9.810,997.279,-198.258,317.164,446.109
4.295,-10.810,997.233,-235.692,310.962,371.545
-0.382,-12.666,1004.517,-297.059,326.501,395.240
2.010,-9.766,997.957,-223.195,223.617,374.309
0.991,-11.363,1004.383,-263.251,204.367,398.085
1.438,-7.853,997.905,-222.360,281.531,426.811
-1.401,-6.376,994.328,-201.213,260.114,421.239
-3.945,-8.886,998.725,-239.365,118.742,398.122
-1.249,-12.337,998.919,-418.297,194.079,365.356
-0.980,-6.034,1001.435,-299.405,381.041,444.418
-2.667,-8.655,1004.490,-176.596,384.092,357.121
0.886,-6.124,1002.704,-347.518,274.362,298.431
-3.597,-10.383,997.956,-345.597,283.961,473.405
-2.605,-8.791,1000.535,-354.892,188.609,509.586
-0.668,-7.417,997.306,-344.624,252.912,430.229
-2.452,-8.550,1002.141,-357.829,244.413,363.470
-0.680,-8.610,998.683,-305.919,204.542,449.857
-3.605,-11.130,998.569,-218.182,207.133,341.514
-0.046,-11.014,999.548,-143.919,348.398,435.230
-3.949,-8.321,997.157,-141.482,405.435,463.726
-2.282,-7.815,998.805,-254.782,249.030,449.980
-0.219,-6.232,995.972,-390.914,176.177,457.884
-1.612,-8.073,1000.101,-433.929,164.140,453.496
-1.539,-5.213,997.634,-317.853,234.122,455.938
-1.635,-10.241,999.144,-263.277,188.344,401.240
0.648,-9.712,1001.952,-222.683,309.247,433.978
0.931,-9.259,999.245,-204.526,318.168,407.601
-4.047,-6.918,994.770,-339.415,298.209,432.623
3.047,-10.246,994.123,-246.163,194.864,403.496
-0.303,-6.976,1002.989,-104.083,206.236,478.081
-2.950,-8.702,997.698,-216.613,420.884,435.927
-0.713,-9.569,998.671,-198.702,213.291,414.701
-2.907,-8.900,998.826,-306.510,74.189,422.657
1.660,-7.469,995.781,-206.602,260.516,418.253
-0.178,-6.300,995.640,-70.772,241.792,421.361
-0.569,-11.947,998.828,-203.393,208.654,418.510
-0.911,-6.647,999.841,-204.320,244.168,422.122
-2.451,-10.192,1001.229,-217.254,480.683,415.083
-1.469,-9.159,998.874,-198.702,329.589,364.404
-1.589,-11.652,1004.619,-244.402,223.966,504.955
-4.627,-8.443,1001.837,-352.964,281.932,459.550
0.264,-11.621,998.035,-210.710,290.307,412.787
-2.422,-7.538,1000.995,-307.842,222.878,424.351
-0.346,-8.365,998.761,-311.192,267.443,415.293
-2.641,-9.377,1002.300,-133.407,278.340,429.037
-4.543,-12.388,997.857,-161.512,371.947,478.637
-0.440,-10.655,999.749,-313.968,286.010,415.376
0.352,-11.919,1000.928,-332.156,267.602,400.372
-1.043,-7.332,1001.216,-224.805,328.021,321.860
-0.865,-6.030,996.757,-209.990,308.586,464.649
-4.793,-7.874,1000.467,-208.901,371.265,493.281
-0.106,-9.689,1000.658,-282.125,331.896,488.815
-0.028,-5.309,1004.378,-275.210,277.922,391.992
-5.440,-7.957,1003.835,-289.055,292.434,371.499
-2.379,-6.905,999.637,-241.878,202.623,430.990
-1.652,-6.211,995.978,-202.539,201.177,414.467
-5.410,-10.075,999.236,-212.196,373.210,422.976
4.668,-6.922,999.175,-215.927,260.842,419.238
-0.755,-9.702,1001.490,-349.533,312.086,413.053
-2.655,-5.187,1001.481,-258.737,311.325,334.703
-4.203,-8.172,995.597,-324.283,163.988,386.644
0.803,-10.024,1001.445,-318.093,163.221,422.613
-2.088,-10.566,1000.044,-218.142,328.738,466.381
0.106,-7.557,999.607,-264.353,240.309,445.893
-1.593,-8.692,999.196,-221.392,183.237,397.485
-1.695,-7.640,998.853,-196.466,174.300,456.491
0.198,-8.180,999.205,-244.118,293.523,457.376
-5.691,-9.173,999.636,-277.337,277.053,425.283
1.697,-8.917,999.011,-328.722,241.659,366.182
-2.911,-9.831,1000.542,-303.862,193.943,403.875
-1.024,-7.958,996.737,-145.423,283.055,481.538
-1.508,-8.551,999.259,-293.253,115.161,429.466
-4.992,-5.119,1000.648,-250.894,205.993,375.442
-4.635,-8.765,1000.156,-227.451,399.087,284.884
-1.451,-10.730,999.814,-334.076,426.611,411.067
2.800,-13.340,994.570,-353.188,370.435,417.591
-1.587,-10.919,998.693,-290.230,231.225,421.209
-1.334,-4.174,1000.308,-204.834,331.046,421.324
-4.962,-9.408,999.295,-212.547,386.816,413.183
0.670,-4.900,1001.828,-237.319,351.139,450.556
-2.978,-11.448,998.545,-436.709,173.085,466.482
-1.387,-8.157,997.416,-265.516,235.063,401.292
-5.385,-10.856,998.204,-253.152,187.358,434.323
-5.526,-14.938,995.908,-228.118,296.935,403.652
-3.672,-7.593,999.514,-277.640,254.899,365.909
1.133,-9.161,996.857,-277.744,329.122,426.012
-0.012,-10.771,1002.409,-288.443,279.917,394.078
0.917,-10.054,999.869,-235.931,234.781,330.046
-3.625,-6.014,1000.194,-204.176,298.535,411.947
-3.587,-10.384,998.894,-264.676,209.859,416.778
1.755,-5.888,998.971,-158.457,145.481,427.069
-2.252,-8.817,1002.541,-210.040,228.750,401.058
-2.177,-9.031,1004.673,-336.287,302.874,342.508
-0.913,-4.439,997.096,-269.442,375.993,377.235
0.750,-9.358,1000.477,-244.709,244.049,483.129
1.473,-13.714,999.202,-239.440,258.304,432.287
0.495,-9.107,1002.171,-134.584,163.799,480.965
-0.767,-8.595,998.099,-225.165,289.112,406.927
-4.353,-9.287,999.521,-292.409,345.756,357.589
-2.416,-10.088,1001.755,-239.122,233.245,461.883
3.727,-8.901,998.694,-248.180,234.747,498.527
-2.908,-9.365,996.504,-240.497,400.348,436.660
-4.170,-6.241,1003.123,-255.028,248.432,470.683
-0.754,-10.409,998.206,-361.085,189.678,504.469
-3.398,-12.594,997.082,-254.117,229.862,463.623
-1.437,-10.519,996.953,-325.716,167.783,438.220
0.091,-6.437,999.279,-312.296,196.029,509.222
-0.772,-8.164,1001.171,-279.172,358.851,435.395
0.065,-9.741,995.871,-175.452,230.735,419.392
-6.086,-7.231,999.893,-121.542,269.296,476.238
-4.281,-8.825,1006.858,-243.423,285.395,436.176
-1.824,-6.504,997.317,-249.431,264.724,476.930
0.322,-10.862,992.547,-218.735,184.594,405.910
-2.592,-9.856,1003.116,-155.206,303.007,427.005
-0.391,-11.512,1003.356,-237.254,315.763,456.882
-0.093,-10.948,995.846,-292.565,204.711,568.852
-2.162,-11.956,998.652,-210.415,216.419,402.120
-0.086,-10.005,1004.141,-287.168,197.278,461.780
1.428,-8.598,1000.348,-294.754,104.861,412.467
-3.911,-6.994,994.790,-372.506,91.638,277.080
-2.789,-6.870,999.743,-296.118,198.172,426.124
-0.009,-10.800,1000.639,-225.207,261.947,405.472
-1.977,-7.567,999.956,-264.949,231.551,498.822
-0.648,-8.019,997.184,-290.311,261.910,475.837
-3.258,-7.882,1002.007,-272.929,204.877,512.397
-1.032,-8.781,1000.249,-265.798,251.441,417.376
-5.099,-7.462,998.296,-174.961,440.035,369.607
-2.794,-9.863,998.055,-333.257,206.836,491.252
0.294,-9.469,1002.823,-340.672,122.334,371.070
-0.798,-10.532,998.050,-227.567,284.501,405.721
-7.433,-9.545,995.254,-182.811,190.066,446.116
-0.545,-12.932,1003.339,-284.656,249.355,470.236
-5.573,-6.937,1000.822,-289.377,250.117,406.248
-0.846,-8.202,998.833,-185.516,196.040,431.079
-2.055,-11.725,995.808,-272.230,220.474,360.306
1.540,-10.363,1001.084,-351.580,139.803,284.599
-3.684,-8.344,999.043,-332.317,308.202,361.221
-5.437,-9.238,994.541,-290.265,313.350,429.216
-1.911,-8.953,998.247,-211.213,180.684,409.142
-0.657,-8.526,1003.506,-192.038,297.438,466.206
-3.243,-8.890,999.652,-366.275,369.382,451.302
-0.569,-3.431,995.933,-329.407,277.365,400.950
-2.677,-9.279,1001.045,-231.281,214.376,512.705
-2.882,-10.028,1000.287,-178.441,224.409,438.128
1.563,-8.606,999.086,-161.669,395.814,389.511
1.616,-11.902,997.092,-247.044,247.914,519.309
-2.619,-11.070,1001.094,-332.492,259.534,431.917
0.250,-5.718,997.423,-355.612,274.827,418.920
0.827,-8.028,996.971,-342.268,297.346,420.658
-3.687,-5.193,999.073,-287.474,241.220,418.559
-1.243,-7.997,999.449,-365.229,272.888,422.339
-0.062,-9.310,1004.891,-310.991,288.945,416.459
-3.690,-10.072,1002.963,-308.963,240.781,425.061
-3.490,-7.491,995.887,-370.711,194.355,411.987
1.476,-8.669,996.790,-326.997,177.779,485.733
-0.994,-11.606,1002.518,-245.183,291.701,416.804
-3.835,-8.890,1001.691,-327.370,194.281,428.235
-2.671,-6.799,994.912,-287.878,201.770,404.719
-3.358,-12.486,1001.466,-232.778,111.820,469.496
-0.160,-9.500,998.672,-255.218,200.640,445.331
-2.881,-9.013,1001.342,-229.564,208.216,413.458
-5.872,-12.627,994.771,-264.541,147.263,413.151
-3.367,-7.359,1003.076,-284.934,143.327,441.283
-2.045,-10.174,1003.582,-278.998,226.494,454.105
0.044,-10.912,998.729,-277.903,189.209,349.459
0.666,-10.753,1000.882,-285.397,299.248,459.191
0.561,-10.523,1000.687,-271.700,319.759,293.466
4.401,-7.154,1000.042,-345.861,257.001,339.337
-0.403,-10.516,994.042,-280.600,368.544,427.190
-3.583,-9.139,998.536,-270.250,234.746,481.908
-1.073,-5.255,1004.189,-208.592,232.133,425.714
-0.266,-9.675,996.638,-324.956,178.421,488.568
