acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
2.440,-40.504,995.032,-210.000,420.000,350.000
9.272,-48.312,994.056,-140.000,350.000,350.000
7.320,-40.504,1000.888,-210.000,280.000,420.000
9.272,-42.456,996.496,-420.000,210.000,490.000
5.856,-41.968,999.912,-350.000,280.000,420.000
13.176,-42.944,995.520,-210.000,420.000,490.000
9.272,-44.896,996.496,-210.000,350.000,350.000
10.248,-46.360,1005.280,-280.000,140.000,350.000
7.808,-48.800,1002.352,-280.000,350.000,490.000
7.808,-48.312,1001.376,-210.000,350.000,490.000
6.344,-44.408,1004.792,-210.000,280.000,490.000
7.808,-42.456,1002.352,-280.000,210.000,350.000
11.224,-44.408,1000.400,-420.000,210.000,420.000
9.272,-41.480,996.984,-280.000,210.000,560.000
7.808,-42.944,1000.400,-140.000,280.000,490.000
8.296,-46.848,1000.400,-210.000,420.000,420.000
9.760,-48.312,995.520,-280.000,350.000,420.000
9.760,-43.432,997.960,-280.000,210.000,350.000
9.272,-39.528,1002.840,-280.000,210.000,420.000
9.272,-39.040,1001.376,-280.000,280.000,420.000
8.296,-40.016,999.424,-420.000,140.000,420.000
3.904,-43.432,998.936,-420.000,210.000,420.000
7.320,-47.824,994.056,-210.000,210.000,350.000
4.392,-43.920,996.496,-280.000,210.000,420.000
5.856,-40.992,1000.888,-280.000,350.000,350.000
9.760,-41.968,991.616,-350.000,280.000,350.000
11.712,-43.432,998.936,-280.000,210.000,420.000
9.272,-44.408,998.936,-210.000,420.000,560.000
3.904,-41.968,999.424,-350.000,420.000,490.000
3.416,-41.480,996.496,-350.000,210.000,350.000
9.272,-42.944,996.984,-280.000,140.000,350.000
8.784,-44.408,999.424,-210.000,210.000,350.000
9.760,-41.968,1000.400,-280.000,280.000,350.000
9.760,-41.480,993.080,-280.000,350.000,350.000
5.368,-39.528,999.912,-140.000,280.000,420.000
3.904,-42.944,1004.304,-140.000,280.000,420.000
9.272,-48.800,999.424,-280.000,210.000,420.000
12.200,-43.920,995.520,-280.000,280.000,420.000
7.808,-44.896,995.520,-350.000,350.000,560.000
5.368,-40.016,997.472,-280.000,210.000,420.000
7.320,-42.944,993.080,-140.000,210.000,420.000
7.808,-39.040,1000.888,-280.000,280.000,420.000
7.808,-41.480,992.104,-420.000,350.000,490.000
3.416,-44.408,996.496,-280.000,350.000,420.000
9.272,-44.408,1003.328,-140.000,210.000,420.000
8.784,-45.384,999.424,-280.000,280.000,420.000
7.320,-42.456,1000.400,-350.000,280.000,420.000
9.272,-41.480,992.592,-350.000,140.000,350.000
15.616,-45.384,994.544,-210.000,210.000,560.000
8.296,-40.504,1001.864,-280.000,210.000,420.000
7.320,-42.944,1004.304,-140.000,280.000,350.000
6.344,-42.944,996.496,-210.000,140.000,350.000
6.832,-42.944,990.640,-420.000,280.000,350.000
7.808,-44.896,993.080,-420.000,210.000,490.000
7.808,-42.944,996.496,-210.000,210.000,490.000
5.368,-39.040,1001.864,-210.000,210.000,420.000
12.200,-41.968,997.960,-350.000,210.000,490.000
9.272,-40.992,992.592,-280.000,280.000,420.000
8.296,-41.480,995.520,-210.000,280.000,490.000
9.272,-39.040,995.032,-280.000,210.000,490.000
