acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
972.096,-242.048,-202.52,23170,15610,-23450
933.544,-219.6,-319.64,8190,-70980,-27300
1070.18,-106.384,-21.96,31010,-65170,-14770
1019.43,-127.856,-139.568,46830,36540,-22120
945.744,-66.856,-196.176,21980,-840,-17430
1000.89,-162.504,-99.552,7140,-42980,-28140
1021.38,-85.888,-18.056,22120,43890,-49070
961.36,-80.52,-200.568,15680,69440,-50680
924.272,-111.752,-281.088,6510,27440,-31920
941.84,-120.048,-174.216,20230,-9100,-9100
1028.7,-8.296,-73.2,24990,-17360,770
1163.88,-128.832,-349.896,16660,-9310,-4200
978.44,-83.936,-213.256,13860,6580,-4550
960.872,-44.408,-177.632,26320,27160,-1890
989.664,-55.144,-150.792,15960,-2100,-1610
993.568,-39.528,-150.304,1120,-44800,-1190
1018.94,-20.984,-125.904,2590,-25410,-2030
982.344,-20.984,-173.728,-3920,-12460,490
981.368,-34.648,-157.136,-9170,-30310,2520
964.776,-27.816,-162.504,-8680,-33950,2730
1028.7,-29.768,18.056,-11970,-53340,5950
955.016,-48.312,-31.232,-20650,-99400,-10150
813.008,-210.328,275.72,-490,-34300,-16800
1011.62,-44.408,21.472,5390,-2730,-7490
1004.3,-40.016,-2.928,280,70,560
1002.35,-47.824,-6.344,-2870,630,1960
1013.09,-37.576,2.44,3500,770,-840
1011.62,-43.92,-0.976,630,910,140
1011.62,-39.04,-0.976,-980,770,700
1010.16,-36.6,-4.392,210,770,490
1008.21,-41.48,0.0,-700,840,560
1012.11,-40.992,-4.392,-350,840,630
1009.18,-40.992,-2.928,-140,770,490
1010.16,-37.576,-5.368,-560,840,560
1008.21,-39.04,-7.32,-140,770,560
1012.6,-46.36,-6.344,-420,910,490
1010.16,-41.968,-0.488,-630,700,560
1003.82,-46.848,1.952,-420,770,560
1011.62,-37.088,-0.488,-630,560,560
1016.5,-37.576,-3.904,-350,700,560
1013.09,-42.944,-3.416,-140,840,490
1007.72,-40.992,2.928,-420,840,560
1014.55,-35.136,-6.344,-490,910,630
1006.74,-35.136,2.44,-280,980,630
1008.7,-39.528,-6.832,-280,1050,560
1010.16,-40.016,-1.952,-420,980,560
1010.65,-41.48,-5.368,-420,840,630
1015.53,-39.04,-4.88,-420,700,560
1013.09,-37.576,0.488,-280,700,630
1006.74,-35.624,-1.952,-490,700,490
1007.72,-44.408,-4.392,-420,910,560
1012.11,-38.552,-5.856,-630,840,630
1010.65,-41.968,-3.416,-490,770,630
1007.23,-42.456,-2.44,-490,770,560
1010.16,-38.552,-1.464,-420,770,630
