acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
0.000,-11.224,997.472,-350.000,350.000,420.000
-1.464,-8.784,999.912,-280.000,350.000,350.000
0.000,-8.784,1001.376,-350.000,350.000,350.000
0.000,-9.760,996.008,-280.000,280.000,420.000
-1.952,-10.736,999.424,-210.000,280.000,420.000
-3.416,-8.784,1005.280,-210.000,210.000,350.000
-1.464,-6.832,998.936,-280.000,210.000,420.000
0.000,-7.320,993.080,-280.000,210.000,560.000
2.928,-10.248,998.448,-280.000,140.000,420.000
1.952,-12.200,998.448,-280.000,210.000,420.000
2.440,-10.736,995.032,-280.000,280.000,350.000
-0.976,-7.808,995.520,-350.000,280.000,420.000
-2.928,-9.760,997.960,-280.000,140.000,560.000
-0.488,-11.712,1002.352,-280.000,210.000,490.000
-1.464,-11.224,1004.792,-140.000,350.000,490.000
-7.320,-10.248,1003.328,-280.000,350.000,490.000
-3.904,-6.344,996.496,-280.000,140.000,490.000
0.000,-8.784,996.008,-420.000,210.000,490.000
1.464,-11.712,1000.400,-420.000,140.000,420.000
-4.392,-9.272,1000.400,-350.000,280.000,420.000
-0.976,-11.712,1001.376,-350.000,210.000,350.000
-2.440,-9.272,999.424,-280.000,280.000,350.000
-9.760,-9.760,999.912,-350.000,140.000,350.000
0.976,-10.736,999.912,-350.000,350.000,420.000
0.000,-9.272,994.544,-350.000,280.000,490.000
-5.368,-8.784,999.424,-350.000,280.000,420.000
-2.928,-7.320,1001.864,-280.000,280.000,420.000
-3.416,-4.392,1000.400,-280.000,210.000,420.000
-3.904,-11.712,996.496,-280.000,350.000,350.000
-2.928,-8.784,996.496,-140.000,280.000,420.000
-0.488,-12.200,1000.888,-210.000,350.000,490.000
-2.928,-8.784,997.960,-210.000,280.000,420.000
-3.416,-8.296,1000.400,-280.000,350.000,420.000
-2.928,-9.760,990.152,-280.000,280.000,490.000
0.000,-9.760,997.960,-280.000,280.000,490.000
-5.856,-13.664,999.912,-280.000,210.000,420.000
-2.928,-4.880,1004.792,-350.000,210.000,490.000
-2.928,-12.200,993.568,-350.000,210.000,490.000
1.952,-7.808,1001.864,-280.000,210.000,350.000
0.976,-6.832,1008.696,-280.000,210.000,490.000
-1.464,-10.736,997.960,-210.000,350.000,420.000
-3.416,-8.296,996.496,-280.000,280.000,420.000
-2.440,-7.320,1000.400,-210.000,210.000,490.000
-1.952,-8.296,997.472,-350.000,210.000,420.000
1.952,-10.248,999.912,-420.000,210.000,420.000
0.000,-9.272,996.496,-280.000,210.000,420.000
-2.928,-10.736,994.544,-280.000,280.000,490.000
0.488,-11.224,1005.768,-350.000,0.000,350.000
-2.440,-9.272,999.424,-280.000,140.000,420.000
-2.440,-14.152,999.912,-210.000,350.000,420.000
2.440,-8.784,997.960,-280.000,210.000,420.000
-1.464,-14.640,999.424,-280.000,140.000,280.000
-1.952,-7.808,999.424,-350.000,210.000,350.000
-2.440,-10.736,997.472,-350.000,280.000,420.000
-4.392,-5.856,996.008,-350.000,210.000,420.000
-1.464,-13.664,1001.376,-420.000,280.000,420.000
1.952,-9.272,1001.376,-350.000,210.000,560.000
-0.488,-10.736,999.912,-350.000,210.000,420.000
1.952,-10.736,1000.400,-280.000,280.000,350.000
-5.856,-11.224,999.424,-210.000,350.000,420.000
2.928,-9.272,994.544,-210.000,280.000,420.000
1.952,-12.688,1003.328,-280.000,350.000,350.000
0.000,-11.712,1001.864,-280.000,280.000,420.000
1.952,-9.272,998.448,-210.000,210.000,350.000
1.464,-12.200,1005.280,-280.000,210.000,420.000
0.488,-6.832,997.472,-210.000,280.000,420.000
0.488,-7.320,994.544,-210.000,280.000,420.000
-5.368,-6.832,997.472,-210.000,140.000,420.000
-0.976,-12.688,999.424,-350.000,140.000,350.000
-1.952,-9.272,999.424,-420.000,280.000,420.000
-0.488,-5.856,1002.840,-210.000,420.000,420.000
-3.416,-9.272,1004.792,-210.000,350.000,350.000
1.952,-5.368,1002.352,-350.000,280.000,280.000
-3.904,-10.736,998.448,-350.000,280.000,490.000
-3.416,-9.272,999.912,-350.000,210.000,490.000
0.000,-7.320,998.936,-350.000,210.000,490.000
-2.928,-8.296,998.448,-350.000,280.000,350.000
-0.488,-8.296,1003.328,-350.000,210.000,420.000
-2.440,-9.272,996.496,-280.000,210.000,420.000
-2.440,-11.224,999.912,-210.000,210.000,350.000
-0.976,-11.224,999.424,-140.000,350.000,420.000
-2.440,-8.296,996.984,-140.000,420.000,490.000
-4.392,-8.296,999.424,-210.000,280.000,420.000
0.488,-6.344,996.008,-350.000,210.000,490.000
-1.464,-7.320,998.448,-420.000,140.000,420.000
-1.464,-7.320,999.424,-420.000,210.000,490.000
-1.464,-5.368,997.960,-280.000,210.000,420.000
-1.952,-10.736,998.936,-280.000,210.000,420.000
0.976,-9.760,1002.840,-210.000,280.000,420.000
0.976,-9.272,999.424,-210.000,350.000,420.000
-2.440,-7.808,996.984,-280.000,280.000,420.000
-1.952,-7.808,992.592,-350.000,280.000,420.000
4.880,-10.736,997.960,-140.000,140.000,420.000
-3.416,-5.368,1003.328,-140.000,280.000,490.000
-1.464,-10.248,996.496,-210.000,420.000,420.000
-1.464,-8.784,999.424,-210.000,210.000,420.000
-2.440,-9.272,998.936,-280.000,70.000,420.000
0.000,-8.296,996.496,-280.000,210.000,420.000
1.952,-5.368,995.520,-70.000,280.000,420.000
-1.952,-9.760,996.496,-140.000,210.000,420.000
0.976,-10.736,1000.400,-210.000,210.000,420.000
-2.928,-6.344,998.936,-210.000,280.000,420.000
-0.488,-10.736,1002.840,-210.000,490.000,420.000
-3.904,-8.784,997.472,-210.000,350.000,350.000
1.464,-11.712,1004.792,-210.000,210.000,490.000
-6.832,-9.272,1003.328,-350.000,280.000,490.000
0.000,-9.760,998.936,-280.000,280.000,420.000
-1.464,-11.224,999.424,-210.000,280.000,420.000
-1.952,-6.344,1000.400,-350.000,210.000,420.000
0.000,-9.272,999.424,-280.000,280.000,420.000
-3.416,-8.784,1001.864,-140.000,280.000,420.000
-3.416,-12.688,999.424,-140.000,350.000,490.000
-3.416,-10.736,997.472,-280.000,350.000,420.000
2.928,-11.712,1002.352,-350.000,210.000,420.000
-2.928,-10.248,999.912,-280.000,350.000,350.000
1.464,-6.344,1001.376,-210.000,280.000,350.000
-3.416,-5.856,995.520,-210.000,350.000,490.000
-3.416,-8.784,1001.864,-210.000,350.000,490.000
-1.464,-8.784,1000.400,-280.000,350.000,490.000
1.464,-7.320,1003.328,-280.000,280.000,420.000
-4.392,-4.880,1005.768,-280.000,280.000,350.000
